,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,44,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
1,1,0,0,1,56,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
2,2,0,0,1,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
3,3,0,0,1,53,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
4,4,0,0,1,78,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
5,5,0,0,1,15,-0.3,0.96,0.917,-2.1,0.04,0.083,-0.3,1.0,1.0,0.0,0.0,0.0
6,6,0,0,1,42,-0.3,0.96,0.933,-2.1,0.04,0.067,-0.3,1.0,1.0,0.0,0.0,0.0
7,7,0,0,1,11,-0.3,0.96,0.875,-2.1,0.04,0.125,-0.3,1.0,1.0,0.0,0.0,0.0
8,8,0,0,1,57,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
9,9,0,0,1,44,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
10,10,0,0,1,52,-0.3,0.96,0.962,-2.1,0.04,0.038,-0.3,1.0,1.0,0.0,0.0,0.0
11,11,0,0,1,55,-0.3,0.96,0.967,-2.1,0.04,0.033,-0.3,1.0,1.0,0.0,0.0,0.0
12,12,0,0,1,50,-0.3,0.96,0.96,-2.1,0.04,0.04,-0.3,1.0,1.0,0.0,0.0,0.0
13,13,0,0,1,67,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
14,14,0,0,1,46,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
15,15,0,0,1,48,-0.3,0.96,0.952,-2.1,0.04,0.048,-0.3,1.0,1.0,0.0,0.0,0.0
16,16,0,0,1,54,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
17,17,0,0,1,17,-0.3,0.96,0.857,-2.1,0.04,0.143,-0.3,1.0,1.0,0.0,0.0,0.0
18,18,0,0,1,58,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
19,19,0,0,1,20,-0.3,0.96,0.917,-2.1,0.04,0.083,-0.3,1.0,1.0,0.0,0.0,0.0
20,0,1,0,1,33,-0.9,0.95,0.941,-4.2,0.05,0.059,-1.0,1.0,1.0,0.0,0.0,0.0
21,1,1,0,1,56,-0.9,0.95,0.964,-4.2,0.05,0.036,-1.0,1.0,1.0,0.0,0.0,0.0
22,2,1,0,1,4,-0.9,0.95,0.5,-4.2,0.05,0.5,-1.0,1.0,1.0,0.0,0.0,0.0
23,3,1,0,1,37,-0.9,0.95,0.941,-4.2,0.05,0.059,-1.0,1.0,1.0,0.0,0.0,0.0
24,4,1,0,0,52,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
25,5,1,0,1,23,-0.9,0.95,0.857,-4.2,0.05,0.143,-1.0,1.0,1.0,0.0,0.0,0.0
